Country,Year,Energy use (kg of oil equivalent per capita),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Individuals using the Internet (% of population),"International migrant stock, total"
"congo, rep.",2005,299.9860604,,1.46342006,107612
colombia,2005,635.0564367,,11.00726389,13209
comoros,2005,60.49438628,,2,622869
cabo verde,2005,213.8081169,,6.074087107,315238
costa rica,2005,902.0485815,,22.07,358175
caribbean small states,2005,3371.006969,,19.42528189,2010824
cuba,2005,947.4352715,,9.738062208,579273
curacao,2005,15178.82724,,,17023
cayman islands,2005,,,38.03438308,..
cyprus,2005,2159.594302,,32.81,117165
czech republic,2005,4400.878113,,35.27,322540
germany,2005,4086.503407,,68.71,440383
djibouti,2005,177.4647815,,0.953611449,92091
dominica,2005,580.827041,,38.54364326,4744
denmark,2005,3487.631914,,82.74,376001
dominican republic,2005,760.0917507,,11.48319778,187404
algeria,2005,977.9540849,,5.843942092,274001
east asia & pacific (excluding high income),2005,1213.651895,,8.314027195,36019
early-demographic dividend,2005,765.2155976,,4.883553318,6588
east asia & pacific,2005,1550.73208,,14.71964172,14314
europe & central asia (excluding high income),2005,2896.840288,,12.41637046,233701
europe & central asia,2005,3358.518537,,35.14667558,27097
ecuador,2005,675.3670137,,5.994255161,514242
"egypt, arab rep.",2005,813.999296,,12.75,4583
euro area,2005,3847.579093,,51.11733864,12435
eritrea,2005,269.5613443,,,192169
spain,2005,3251.397133,,47.88,6737600
estonia,2005,3846.392943,,61.45,32286
ethiopia,2005,482.9057294,,0.219659819,214123
european union,2005,3615.671189,,50.92456035,181905
fragile and conflict affected situations,2005,542.6687114,,1.498875228,199805
finland,2005,6562.022311,,74.48,10299160
fiji,2005,703.5019304,,8.453636634,304436
france,2005,4287.157413,,42.87,9211
faroe islands,2005,,,67.90263174,1190707
"micronesia, fed. sts.",2005,,,11.8813691,6686
gabon,2005,2160.072029,,4.89326475,6902
united kingdom,2005,3686.359905,,70,74743
georgia,2005,727.880734,,6.079457629,57252
ghana,2005,269.7821491,,1.831197461,229611
gibraltar,2005,4544.507661,,39.07013088,20736
guinea,2005,,,0.542254181,10868
"gambia, the",2005,69.95992203,,3.799001139,30468
guinea-bissau,2005,64.6873815,,1.901365316,27875
equatorial guinea,2005,1666.366481,,1.149789671,2721235
greece,2005,2753.051201,,24,366787
grenada,2005,754.817936,,20.48780488,25492
greenland,2005,,,57.7034045,5923642
guatemala,2005,595.590434,,5.7,289568
guam,2005,,,38.55987756,2568930
guyana,2005,663.3939233,,,132915
high income,2005,5125.043984,,58.53648558,589046
"hong kong sar, china",2005,1844.490401,,56.9,41475
honduras,2005,551.0099564,,6.5,1889503
heavily indebted poor countries (hipc),2005,399.4260841,,1.21089983,3954790
croatia,2005,2261.483778,,33.14,24314
haiti,2005,370.4208068,,6.376201635,2012916
hungary,2005,2731.039703,,38.97,2325414
ibrd only,2005,1211.592885,,8.68717426,3102962
ida & ibrd total,2005,1067.12813,,7.248155871,756894
ida total,2005,476.7187059,,2.207930543,2487
ida blend,2005,668.4221791,,4.519352435,40097
indonesia,2005,794.4100006,,3.602024763,485546
ida only,2005,352.6613269,,1.046948729,..
isle of man,2005,,,,1333327
india,2005,449.7658559,,2.388075,312897
not classified,2005,,,,20371
ireland,2005,3503.642864,,41.61,376725
"iran, islamic rep.",2005,2475.087729,,8.1,756784
iraq,2005,981.7259561,,0.9,6290
iceland,2005,10524.8775,,87,87188
israel,2005,2661.449185,,25.19404242,625212
italy,2005,3214.674121,,35,18898
jamaica,2005,1355.282093,,12.8,201209
jordan,2005,1157.958664,,12.93285205,150618
japan,2005,4062.979049,,66.9210661,279308
kazakhstan,2005,3358.971122,,2.961707492,26058
kenya,2005,436.9270956,,3.101897702,221661
kyrgyz republic,2005,498.5427885,,10.53380134,1722344
cambodia,2005,258.8576331,,0.317321781,45045
kiribati,2005,86.65041971,,4,256797
st. kitts and nevis,2005,1685.98075,,34,24560
"korea, rep.",2005,4364.219091,,73.5,2417
kuwait,2005,11576.82722,,25.92610837,58119
latin america & caribbean (excluding high income),2005,1186.552994,,16.07834927,19647
lao pdr,2005,,,0.85035749,712487
lebanon,2005,1073.103921,,10.14,2905
liberia,2005,,,,173957
libya,2005,3065.045026,,3.917787977,21312
st. lucia,2005,752.6756702,,21.56758295,11475
latin america & caribbean,2005,1230.142407,,16.62172188,..
least developed countries: un classification,2005,318.2736232,,0.78248411,54379
low income,2005,,,0.951982549,204830
liechtenstein,2005,,,63.37135615,83025
sri lanka,2005,460.5093132,,1.792046794,106274
lower middle income,2005,559.906071,,3.684009156,2253
low & middle income,2005,1050.424324,,6.893389998,679457
lesotho,2005,16.53212191,,2.580245484,1736127
late-demographic dividend,2005,1617.569289,,12.28385108,55405
lithuania,2005,2662.800735,,36.22,839952
luxembourg,2005,9428.811286,,70,34918
latvia,2005,2022.56433,,46,124461
"macao sar, china",2005,,,34.86292717,648019
st. martin (french part),2005,,,,127667
morocco,2005,487.4037618,,15.08444452,37542
monaco,2005,,,55.46482606,361144
moldova,2005,972.7407782,,14.63027046,666160
madagascar,2005,,,0.567721802,3171132
maldives,2005,703.9873845,,6.869605067,6043
middle east & north africa,2005,1811.897535,,9.837574849,117563
mexico,2005,1685.099674,,17.21,29967
marshall islands,2005,524.8108871,,3.878702398,168243
middle income,2005,1090.051353,,7.4922798,77541
north macedonia,2005,1359.377616,,26.45,257468
mali,2005,,,0.507063136,722509
malta,2005,2181.143737,,41.24,771184
myanmar,2005,304.3126277,,0.065238856,352144
middle east & north africa (excluding high income),2005,1237.950323,,8.623184453,646026
montenegro,2005,1745.974431,,27.1,145162
mongolia,2005,1185.681817,,,11667588
northern mariana islands,2005,,,,432797
mozambique,2005,414.2083569,,0.854357118,5746
mauritania,2005,,,0.669966475,4218
mauritius,2005,945.7237672,,15.17222875,3433
malawi,2005,,,0.384489334,6501819
malaysia,2005,2558.495631,,48.62917025,238298
north america,2005,7903.118483,,68.33155717,845120
namibia,2005,683.9035866,,4.010046644,8997
new caledonia,2005,,,32.35901475,149615
niger,2005,127.2300781,,0.221341351,1710594
nigeria,2005,758.3650946,,3.549155718,13100
nicaragua,2005,526.1270637,,2.566351177,130491
netherlands,2005,4989.46793,,81,197276
norway,2005,5802.71629,,81.99,3271
nepal,2005,354.701781,,0.826551266,20670
nauru,2005,,,,1210936
new zealand,2005,4095.143085,,62.72021237,..
oecd members,2005,4619.010593,,54.13192238,4107226
oman,2005,3944.408584,,6.68358142,39526
other small states,2005,2272.384304,,12.8603223,6682
pakistan,2005,477.2908735,,6.332329098,11468
panama,2005,875.1210507,,11.48400928,..
peru,2005,489.6523362,,17.1,4395
philippines,2005,450.078742,,5.397636329,541994
palau,2005,,,,33664
papua new guinea,2005,,,1.716190476,1125790
poland,2005,2414.16179,,38.81,1805437
pre-demographic dividend,2005,531.5889887,,1.720034498,876410
puerto rico,2005,,,23.40005045,280444
"korea, dem. people’s rep.",2005,892.5578959,,0,770846
portugal,2005,2519.004925,,34.99,2163447
paraguay,2005,679.8454215,,7.907007861,11286
west bank and gaza,2005,,,16.005,203379
pacific island small states,2005,423.531339,,5.579126792,4301
post-demographic dividend,2005,5105.879861,,58.48989731,44812
french polynesia,2005,,,21.54218547,35040
qatar,2005,19256.3819,,24.73349378,1319236
romania,2005,1810.327263,,21.5,213051
russian federation,2005,4540.917363,,15.2266732,9945
rwanda,2005,,,0.556041165,183
south asia,2005,424.6045017,,2.533991878,652968
saudi arabia,2005,5145.599654,,12.70503599,5050302
sudan,2005,373.629041,,1.292040678,3281036
senegal,2005,251.7239675,,4.786684083,5926156
singapore,2005,5055.96632,,61,39258293
solomon islands,2005,123.4257892,,0.844307573,82318
sierra leone,2005,,,0.21539161,1329345
el salvador,2005,744.7953388,,4.2,2800
san marino,2005,,,50.2595642,1070562
somalia,2005,,,1.077327839,51768
serbia,2005,2159.573829,,26.3,56647
sub-saharan africa (excluding high income),2005,676.3476359,,2.03933611,266617
south sudan,2005,,,,171073
sub-saharan africa,2005,676.6319789,,2.042099108,252749
small states,2005,2394.051842,,13.65920333,392693
sao tome and principe,2005,273.0644178,,13.75948422,19323851
suriname,2005,1265.484599,,6.403086288,290233
slovak republic,2005,3504.475593,,55.19,3336747
slovenia,2005,3645.837437,,46.81,39296469
sweden,2005,5711.127283,,84.83,18768866
eswatini,2005,387.1610037,,3.696961073,5536825
sint maarten (dutch part),2005,,,,5478538
seychelles,2005,2751.695672,,25.41326815,33016886
syrian arab republic,2005,1132.379266,,5.648106049,71714401
turks and caicos islands,2005,,,,26818942
chad,2005,,,0.3992577,28120724
east asia & pacific (ida & ibrd countries),2005,1217.780833,,8.419354184,42706560
europe & central asia (ida & ibrd countries),2005,2848.211382,,15.00506432,8680442
togo,2005,422.6491721,,1.8,10419014
thailand,2005,1513.470037,,15.02600436,119364058
tajikistan,2005,344.6732008,,0.298690024,52142732
turkmenistan,2005,4032.956186,,0.997256559,72943636
latin america & the caribbean (ida & ibrd countries),2005,1231.839353,,16.68883369,7151387
timor-leste,2005,58.28354947,,0.099031768,13649517
middle east & north africa (ida & ibrd countries),2005,1237.950323,,8.536139219,20800904
tonga,2005,564.8877657,,4.907782762,33431529
south asia (ida & ibrd),2005,424.6045017,,2.533991878,6944332
sub-saharan africa (ida & ibrd countries),2005,676.6319789,,2.042099108,5818774
trinidad and tobago,2005,12430.52845,,28.97671243,6351251
tunisia,2005,822.6588888,,9.655086542,9803046
turkey,2005,1240.16527,,15.46,71425284
tuvalu,2005,,,,8288052
tanzania,2005,448.450234,,1.1,24879420
uganda,2005,,,1.742205503,23172852
ukraine,2005,3033.183675,,3.749764415,8426403
upper middle income,2005,1631.955434,,11.38546428,8159786
uruguay,2005,890.2264824,,20.08818956,63137232
united states,2005,7846.499688,,67.96805292,45355554
uzbekistan,2005,1799.40318,,3.343509888,..
st. vincent and the grenadines,2005,616.8633878,,9.198278082,101719731
"venezuela, rb",2005,2130.138386,,12.55299791,2452150
british virgin islands,2005,,,,44841
virgin islands (u.s.),2005,,,27.34431967,107100145
vietnam,2005,492.0724513,,12.73992929,10569263
vanuatu,2005,143.3472539,,5.082333808,2787224
world,2005,1766.276194,,15.72910329,11153081
samoa,2005,317.147674,,3.352592112,11153081
kosovo,2005,1140.686958,,,13680256
"yemen, rep.",2005,327.6094896,,1.048597934,13671259
south africa,2005,2678.553889,,7.48854253,13680256
zambia,2005,617.7109839,,2.851752261,38257812
zimbabwe,2005,796.2583153,,2.4,190789342
aruba,2006,,,28,
afghanistan,2006,,,2.107123645,
angola,2006,458.7941648,,1.5,
albania,2006,706.8594077,,9.609991316,
andorra,2006,,,48.936847,
arab world,2006,1550.244389,,11.66378867,
united arab emirates,2006,8716.289692,,52,
argentina,2006,1853.041666,,20.9272021,
armenia,2006,864.8831916,,5.631787777,
american samoa,2006,,,,
antigua and barbuda,2006,1729.057845,,30,
australia,2006,5709.344668,,66,
austria,2006,4078.812226,,63.6,
azerbaijan,2006,1559.568746,,11.99217733,
burundi,2006,,,0.65759259,
belgium,2006,5470.491824,,59.72,
benin,2006,358.898499,,1.537854346,
burkina faso,2006,,,0.632707564,
bangladesh,2006,173.3027516,,1,
bulgaria,2006,2691.460438,,27.09,
bahrain,2006,11604.20088,,28.24395243,
"bahamas, the",2006,2132.717886,,26,
bosnia and herzegovina,2006,1407.555962,,25.12238569,
belarus,2006,2965.377967,,16.2,
belize,2006,590.3977977,,24,
bermuda,2006,,,69.89965516,
bolivia,2006,691.9551238,,6.200671255,
brazil,2006,1184.145102,,28.17838018,
barbados,2006,1434.353118,,55.3,
brunei darussalam,2006,8511.574205,,42.18634916,
bhutan,2006,320.9564807,,4.518317258,
botswana,2006,1050.64415,,4.289932975,
central african republic,2006,,,0.311159173,
canada,2006,8239.946371,,72.4,
central europe and the baltics,2006,2690.908886,,40.79961094,
switzerland,2006,3619.151639,,75.7,
channel islands,2006,,,,
chile,2006,1805.221118,,34.49775117,
china,2006,1515.173678,,10.52315262,
cote d'ivoire,2006,504.3240396,,1.524900791,
cameroon,2006,368.9174312,,2.028744791,
"congo, dem. rep.",2006,305.6769538,,0.29605361,
"congo, rep.",2006,378.7737231,,2.007990079,
colombia,2006,658.9185868,,15.34167454,
comoros,2006,67.04713254,,2.2,
cabo verde,2006,217.4052049,,6.808911008,
costa rica,2006,962.5568301,,25.1,
caribbean small states,2006,3690.77446,,22.29393357,
cuba,2006,945.9763252,,11.15960131,
curacao,2006,14581.1072,,,
cayman islands,2006,,,44.5,
cyprus,2006,2207.928785,,35.83,
czech republic,2006,4491.516134,,47.93,
germany,2006,4204.654689,,72.16,
djibouti,2006,179.9731425,,1.270041159,
dominica,2006,593.9081988,,39.3981743,
denmark,2006,3728.171039,,86.65,
dominican republic,2006,776.5663132,,14.84492837,
algeria,2006,1031.919174,,7.375984956,
east asia & pacific (excluding high income),2006,1298.033595,,10.1685372,
early-demographic dividend,2006,788.9596911,,5.766603269,
east asia & pacific,2006,1628.71896,,16.66954807,
europe & central asia (excluding high income),2006,2993.185201,,14.95789408,
europe & central asia,2006,3401.773428,,38.01534504,
ecuador,2006,667.1038361,,7.2,
"egypt, arab rep.",2006,844.987613,,13.66,
euro area,2006,3839.733361,,54.80103474,
eritrea,2006,237.870883,,,
spain,2006,3194.081246,,50.37,
estonia,2006,3775.035083,,63.51,
ethiopia,2006,483.9403013,,0.310592657,
european union,2006,3616.144315,,54.5192848,
fragile and conflict affected situations,2006,537.8213042,,1.912450215,
finland,2006,7111.856822,,79.66,
fiji,2006,675.2267868,,9.6000384,
france,2006,4188.84293,,46.87,
faroe islands,2006,,,69.35944512,
"micronesia, fed. sts.",2006,,,12.75033925,
gabon,2006,2362.398542,,5.489200803,
united kingdom,2006,3598.810406,,68.82,
georgia,2006,781.2476565,,7.526876845,
ghana,2006,280.1682198,,2.723175973,
gibraltar,2006,4697.579077,,45.29864751,
guinea,2006,,,0.637492123,
"gambia, the",2006,71.63301277,,5.237691158,
guinea-bissau,2006,65.33191152,,2.057196705,
equatorial guinea,2006,1915.87975,,1.279193596,
greece,2006,2742.629961,,32.25,
grenada,2006,771.9211306,,21.39599117,
greenland,2006,,,59.36168727,
guatemala,2006,591.3125761,,6.5,
guam,2006,,,43.851443,
guyana,2006,669.9332612,,,
high income,2006,5107.368002,,61.25342478,
"hong kong sar, china",2006,1932.909685,,60.8,
honduras,2006,523.1141095,,7.8,
heavily indebted poor countries (hipc),2006,403.2085128,,1.554535962,
croatia,2006,2248.380076,,37.98,
haiti,2006,375.3054779,,6.796000481,
hungary,2006,2713.257084,,47.06,
ibrd only,2006,1267.819354,,10.52370122,
ida & ibrd total,2006,1111.319447,,8.866094621,
ida total,2006,479.3340769,,2.924075467,
ida blend,2006,668.4363793,,5.601304407,
indonesia,2006,802.3545286,,4.764813134,
ida only,2006,356.7738436,,1.510271787,
isle of man,2006,,,,
india,2006,466.1382611,,2.805499865,
not classified,2006,,,,
ireland,2006,3424.160852,,54.82,
"iran, islamic rep.",2006,2557.7637,,8.76,
iraq,2006,908.5752454,,0.952344244,
iceland,2006,12734.00662,,89.51,
israel,2006,2882.399025,,27.88107446,
italy,2006,3175.799871,,37.99,
jamaica,2006,1510.601738,,16.4,
jordan,2006,1143.880038,,13.86710879,
japan,2006,4053.883437,,68.68527032,
kazakhstan,2006,4012.785075,,3.268369051,
kenya,2006,443.1654858,,3.6,
kyrgyz republic,2006,485.4189023,,12.306907,
cambodia,2006,254.4461377,,0.46835672,
kiribati,2006,105.9962053,,4.5,
st. kitts and nevis,2006,1668.814297,,38.5,
"korea, rep.",2006,4412.527118,,78.1,
kuwait,2006,10811.57759,,28.79119795,
latin america & caribbean (excluding high income),2006,1223.516343,,20.22266729,
lao pdr,2006,,,1.169893428,
lebanon,2006,1007.243233,,15,
liberia,2006,,,,
libya,2006,3052.424955,,4.301051789,
st. lucia,2006,719.5506134,,24.5,
latin america & caribbean,2006,1270.516425,,20.75599317,
least developed countries: un classification,2006,324.0835558,,1.120428606,
low income,2006,,,1.288607335,
liechtenstein,2006,,,64.21416136,
sri lanka,2006,461.1367746,,2.537566129,
lower middle income,2006,567.79623,,4.568930442,
low & middle income,2006,1093.618699,,8.461843212,
lesotho,2006,9.548031372,,2.979708187,
late-demographic dividend,2006,1717.838246,,15.13640873,
lithuania,2006,2666.013336,,43.9,
luxembourg,2006,9170.532565,,72.51,
latvia,2006,2113.710733,,53.63,
"macao sar, china",2006,,,46.4,
st. martin (french part),2006,,,,
morocco,2006,490.0372778,,19.77119157,
monaco,2006,,,61.47603971,
moldova,2006,962.3924296,,19.62064771,
madagascar,2006,,,0.607552239,
maldives,2006,879.4242214,,11.03635278,
middle east & north africa,2006,1887.52777,,11.85474422,
mexico,2006,1698.585358,,19.52,
marshall islands,2006,537.9525526,,3.795590214,
middle income,2006,1136.619053,,9.186306956,
north macedonia,2006,1421.331462,,28.62,
mali,2006,,,0.729627281,
malta,2006,2055.686046,,40.41,
myanmar,2006,306.4233723,,0.182048331,
middle east & north africa (excluding high income),2006,1262.986992,,9.993366808,
montenegro,2006,1913.556359,,28.9,
mongolia,2006,1331.883857,,,
northern mariana islands,2006,,,,
mozambique,2006,414.7168587,,0.842954488,
mauritania,2006,,,0.979661253,
mauritius,2006,1006.501642,,16.7,
malawi,2006,,,0.42513749,
malaysia,2006,2522.330905,,51.63798899,
north america,2006,7751.023404,,69.27397962,
namibia,2006,673.6491391,,4.398870647,
new caledonia,2006,,,33.51571468,
niger,2006,125.6858488,,0.294033977,
nigeria,2006,744.9410933,,5.545036083,
nicaragua,2006,514.1185793,,2.805573063,
netherlands,2006,4925.112417,,83.7,
norway,2006,5833.773935,,82.55,
nepal,2006,350.2931116,,1.141389164,
nauru,2006,,,,
new zealand,2006,4047.318023,,69,
oecd members,2006,4590.353929,,56.60780276,
oman,2006,5979.029029,,8.299716673,
other small states,2006,2484.449141,,14.22604903,
pakistan,2006,485.9415342,,6.5,
panama,2006,918.0965932,,17.34956617,
peru,2006,471.4453633,,20.7,
philippines,2006,438.8435484,,5.740586325,
palau,2006,,,,
papua new guinea,2006,,,1.754487261,
poland,2006,2536.978045,,44.58,
pre-demographic dividend,2006,525.3388455,,2.45401576,
puerto rico,2006,,,25.44241821,
"korea, dem. people’s rep.",2006,895.8542023,,0,
portugal,2006,2390.324614,,38.01,
paraguay,2006,690.0008101,,7.962073884,
west bank and gaza,2006,,,18.41,
pacific island small states,2006,410.5295985,,6.49353724,
post-demographic dividend,2006,5062.557751,,60.41712886,
french polynesia,2006,,,25.10796425,
qatar,2006,19155.72141,,28.97411271,
romania,2006,1884.545121,,24.66,
russian federation,2006,4688.394596,,18.02327746,
rwanda,2006,,,,
south asia,2006,439.0505669,,2.971573687,
saudi arabia,2006,5543.058521,,19.45955435,
sudan,2006,389.9966343,,,
senegal,2006,245.8876386,,5.611738652,
singapore,2006,5264.398658,,59,
solomon islands,2006,122.6412349,,1.646347989,
sierra leone,2006,,,0.227669467,
el salvador,2006,778.7093757,,5.5,
san marino,2006,,,50.20865936,
somalia,2006,,,1.100216368,
serbia,2006,2300.733353,,27.2,
sub-saharan africa (excluding high income),2006,669.8199033,,2.699099408,
south sudan,2006,,,,
sub-saharan africa,2006,670.1201341,,2.703059039,
small states,2006,2612.771928,,15.27200781,
sao tome and principe,2006,272.1408205,,14.18201978,
suriname,2006,1188.903512,,9.499626942,
slovak republic,2006,3469.291394,,56.08,
slovenia,2006,3648.982893,,54.01,
sweden,2006,5529.077953,,87.76,
eswatini,2006,391.8570938,,3.696538789,
sint maarten (dutch part),2006,,,,
seychelles,2006,2872.340426,,34.95197117,
syrian arab republic,2006,1134.852574,,7.832551569,
turks and caicos islands,2006,,,,
chad,2006,,,0.581045764,
east asia & pacific (ida & ibrd countries),2006,1303.198303,,10.29719602,
europe & central asia (ida & ibrd countries),2006,2945.875711,,17.79036169,
togo,2006,410.6965614,,2,
thailand,2006,1533.995423,,17.16071472,
tajikistan,2006,348.5481656,,3.772406207,
turkmenistan,2006,4082.799163,,1.319573118,
latin america & the caribbean (ida & ibrd countries),2006,1273.15449,,20.89562897,
timor-leste,2006,58.04618509,,0.5,
middle east & north africa (ida & ibrd countries),2006,1262.986992,,9.893586397,
tonga,2006,560.4389122,,5.853944095,
south asia (ida & ibrd),2006,439.0505669,,2.971573687,
sub-saharan africa (ida & ibrd countries),2006,670.1201341,,2.703059039,
trinidad and tobago,2006,13805.01335,,30.00374858,
tunisia,2006,857.9101468,,12.98640865,
turkey,2006,1354.807007,,18.24,
tuvalu,2006,,,,
tanzania,2006,451.6903896,,1.3,
uganda,2006,,,2.529363038,
ukraine,2006,2935.292315,,4.506124564,
upper middle income,2006,1723.230955,,13.86912106,
uruguay,2006,957.0791613,,29.4,
united states,2006,7697.652535,,68.93119327,
uzbekistan,2006,1815.949789,,6.388321967,
st. vincent and the grenadines,2006,644.5494139,,12,
"venezuela, rb",2006,2336.153698,,15.22471148,
british virgin islands,2006,,,,
virgin islands (u.s.),2006,,,27.33261054,
vietnam,2006,499.5559313,,17.25456172,
vanuatu,2006,144.6097868,,5.850585059,
world,2006,1795.802514,,17.49252632,
samoa,2006,315.1330193,,4.469173873,
kosovo,2006,1143.458468,,,
"yemen, rep.",2006,340.8863918,,1.247824049,
south africa,2006,2625.795062,,7.607139675,
zambia,2006,615.1071088,,4.159913394,
zimbabwe,2006,809.9859561,,2.4,
aruba,2007,,,30.9,
afghanistan,2007,,,1.9,
angola,2007,471.6941772,,1.7,
albania,2007,679.8617651,,15.03611541,
andorra,2007,,,70.87,
arab world,2007,1581.776568,,14.31521389,
united arab emirates,2007,8127.945004,,61,
argentina,2007,1858.392218,,25.94663294,
armenia,2007,972.7983665,,6.021253397,
american samoa,2007,,,,
antigua and barbuda,2007,1737.557423,,34,
australia,2007,5868.347097,,69.45,
austria,2007,4019.59017,,69.37,
azerbaijan,2007,1411.55734,,14.54,
burundi,2007,,,0.7,
belgium,2007,5336.963212,,64.44,
benin,2007,379.2277351,,1.79,
burkina faso,2007,,,0.75,
bangladesh,2007,178.8510427,,1.8,
bulgaria,2007,2666.111445,,33.64,
bahrain,2007,11233.9179,,32.91,
"bahamas, the",2007,2101.431878,,27,
bosnia and herzegovina,2007,1409.616704,,27.92,
belarus,2007,2917.907033,,19.7,
belize,2007,595.2679542,,24.6,
bermuda,2007,,,74.35059403,
bolivia,2007,554.1492706,,10.49924432,
brazil,2007,1238.411641,,30.88,
barbados,2007,1438.823107,,58.2,
brunei darussalam,2007,8606.765965,,44.68,
bhutan,2007,366.9857237,,5.92,
botswana,2007,1062.92273,,5.28,
central african republic,2007,,,0.375815961,
canada,2007,8213.389543,,73.2,
central europe and the baltics,2007,2696.754909,,45.28427447,
switzerland,2007,3410.819883,,77.2,
channel islands,2007,,,,
chile,2007,1852.505249,,35.9,
china,2007,1630.171029,,16,
cote d'ivoire,2007,531.0260887,,1.8,
cameroon,2007,338.4741351,,2.93,
"congo, dem. rep.",2007,306.6367264,,0.37,
"congo, rep.",2007,325.0534878,,2.759704374,
colombia,2007,646.797477,,21.8,
comoros,2007,63.90075122,,2.5,
cabo verde,2007,216.8147181,,8.28321982,
costa rica,2007,1023.571571,,28.4,
caribbean small states,2007,3836.672207,,24.50228747,
cuba,2007,901.335529,,11.69,
curacao,2007,16222.45516,,,
cayman islands,2007,,,52,
cyprus,2007,2292.2245,,40.77,
czech republic,2007,4468.960352,,51.93,
germany,2007,3985.811955,,75.16,
djibouti,2007,177.5402849,,1.62,
dominica,2007,607.3875274,,40.27446301,
denmark,2007,3622.596833,,85.03,
dominican republic,2007,779.6497881,,17.66,
algeria,2007,1078.183633,,9.451190626,
east asia & pacific (excluding high income),2007,1378.853178,,14.37880641,
early-demographic dividend,2007,804.3417529,,7.332921825,
east asia & pacific,2007,1703.909327,,20.81549299,
europe & central asia (excluding high income),2007,3029.368451,,20.31738621,
europe & central asia,2007,3373.80704,,43.61616867,
ecuador,2007,742.1890459,,10.8,
"egypt, arab rep.",2007,889.3894434,,16.03,
euro area,2007,3757.199258,,61.25825566,
eritrea,2007,239.2445811,,0.41,
spain,2007,3180.03342,,55.11,
estonia,2007,4243.648,,66.19,
ethiopia,2007,485.5969831,,0.37,
european union,2007,3541.015645,,60.29466552,
fragile and conflict affected situations,2007,530.3594807,,2.982722663,
finland,2007,6974.896761,,80.78,
fiji,2007,626.6518375,,10.89783105,
france,2007,4115.527368,,66.09,
faroe islands,2007,,,75.98,
"micronesia, fed. sts.",2007,,,13.62113273,
gabon,2007,2555.471877,,5.767004576,
united kingdom,2007,3441.640219,,75.09,
georgia,2007,865.5928073,,8.26,
ghana,2007,273.0545526,,3.85,
gibraltar,2007,4679.86395,,51.61,
guinea,2007,,,0.780025279,
"gambia, the",2007,81.10507803,,6.205037419,
guinea-bissau,2007,67.30223592,,2.206302237,
equatorial guinea,2007,2140.717816,,1.557123059,
greece,2007,2734.755835,,35.88,
grenada,2007,770.0351744,,22.29,
greenland,2007,,,61.07,
guatemala,2007,621.2733462,,7.3,
guam,2007,,,46.15047362,
guyana,2007,669.8156935,,13.8,
high income,2007,5104.263937,,66.64837848,
"hong kong sar, china",2007,2058.597516,,64.8,
honduras,2007,600.5888697,,9.4,
heavily indebted poor countries (hipc),2007,399.8894025,,2.327953342,
croatia,2007,2338.447693,,41.44,
haiti,2007,387.0094851,,7.2,
hungary,2007,2658.036373,,53.3,
ibrd only,2007,1315.910353,,13.73631705,
ida & ibrd total,2007,1149.00208,,11.45008108,
ida total,2007,483.1630748,,3.693844621,
ida blend,2007,670.2998026,,6.376605283,
indonesia,2007,788.0726283,,5.786274729,
ida only,2007,361.6385968,,2.353326266,
isle of man,2007,,,,
india,2007,485.0996282,,3.95,
not classified,2007,,,,
ireland,2007,3416.030946,,61.15832455,
"iran, islamic rep.",2007,2676.599594,,9.47,
iraq,2007,909.1752902,,0.93,
iceland,2007,14746.03134,,90.6,
israel,2007,2898.153368,,48.12806219,
italy,2007,3149.576553,,40.79,
jamaica,2007,1511.587742,,21.1,
jordan,2007,1152.461121,,20,
japan,2007,4012.654245,,74.3,
kazakhstan,2007,4267.99306,,4.02,
kenya,2007,440.4651463,,4.4,
kyrgyz republic,2007,560.6182143,,14.03,
cambodia,2007,254.2458817,,0.49,
kiribati,2007,113.9577528,,6,
st. kitts and nevis,2007,1737.201222,,43.5,
"korea, rep.",2007,4564.98783,,78.8,
kuwait,2007,10489.03982,,34.8,
latin america & caribbean (excluding high income),2007,1227.116519,,23.2131351,
lao pdr,2007,,,1.64,
lebanon,2007,886.2609872,,18.74,
liberia,2007,,,0.551376581,
libya,2007,2796.455171,,4.721999379,
st. lucia,2007,763.5454757,,27.9,
latin america & caribbean,2007,1277.150097,,23.71256739,
least developed countries: un classification,2007,326.7878018,,1.852511744,
low income,2007,,,1.792984718,
liechtenstein,2007,,,65.08021844,
sri lanka,2007,466.7071598,,3.88,
lower middle income,2007,578.6084856,,5.747192743,
low & middle income,2007,1130.672507,,11.02897794,
lesotho,2007,9.56252938,,3.44543126,
late-demographic dividend,2007,1802.687486,,19.97382945,
lithuania,2007,2927.241223,,49.9,
luxembourg,2007,8773.896703,,78.92,
latvia,2007,2179.813891,,59.17,
"macao sar, china",2007,,,47.327,
st. martin (french part),2007,,,,
morocco,2007,499.592394,,21.5,
monaco,2007,,,64.3776824,
moldova,2007,938.5967218,,20.45,
madagascar,2007,,,0.65,
maldives,2007,892.0872754,,16.3,
middle east & north africa,2007,1939.128908,,15.07590034,
mexico,2007,1662.602596,,20.81,
marshall islands,2007,570.9086368,,3.95,
middle income,2007,1177.431066,,12.00144532,
north macedonia,2007,1464.716238,,36.3,
mali,2007,,,0.81,
malta,2007,2156.555797,,46.9,
myanmar,2007,315.8789415,,0.217128445,
